Product Name,Processor,RAM,Storage,Operating System,Display,Warranty,Price,Original Price,Discount,Rating,Number of Ratings,Number of Reviews,Image URL,Product Link
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"45,990","70,064",34,4.2,551,285,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/5/d/-original-imah4qscsfg5bgms.jpeg?q=70,https://www.flipkart.com/hp-backlit-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fy5002tu-thin-light-laptop/p/itm9046eaf5a4af9?pid=COMGZNSBS7Z959EW&lid=LSTCOMGZNSBS7Z959EWGCQAVA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&iid=en_Kb-BMmb8RhjkJJJBZNJt1svKZVg4M-9zd-dP_wql0Bjn9fMHraREnx8zdXZzQuz38e3QZ19oCCzkBHtmicwckPUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=ba0czk405c0000001737054237136&qH=312f91285e048e09
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thi...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"44,990","66,990",32,4.2,302,339,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/7/x1504za-nj521ws-x1504za-nj520ws-thin-and-light-laptop-asus-original-imah4fv4jrrag9dq.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj549ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMHYG8ZPYAZAFTY&lid=LSTCOMHYG8ZPYAZAFTYUFI8OO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&iid=en_Kb-BMmb8RhjkJJJBZNJt1svKZVg4M-9zd-dP_wql0Bg4IKbaW-7CP98V0qKrrOhxqN8d7sWBij6KPqy_cdue-PUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=ba0czk405c0000001737054237136&qH=312f91285e048e09
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,512 GB SSD,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"37,999","57,499",33,4.5,676,228,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/u/e/-original-imah46f8th3pnphq.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg4in-thin-light-laptop/p/itm1ad811a174c21?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&iid=en_Kb-BMmb8RhjkJJJBZNJt1svKZVg4M-9zd-dP_wql0BjeADGiVvYt4zYq8VwziMNvTRDkYeBSKEY2nU--mJz95OvN4Mn-dv-pi277bRzMbnY%3D&ssid=ba0czk405c0000001737054237136&qH=312f91285e048e09
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,AMD Ryzen 7 Octa Core Processor,24 GB DDR5 RAM,512 GB SSD,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1Yr Warranty and 1 Yr Accidental Damage Protection,"79,990","1,08,990",26,4.4,779,61,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/s/h/-original-imah5uhqvzfzq6uk.jpeg?q=70,https://www.flipkart.com/lenovo-loq-amd-ryzen-7-octa-core-7435hs-24-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15arp9-gaming-laptop/p/itmd3fbbdced2d6b?pid=COMHFYZ36W8ZGS8Z&lid=LSTCOMHFYZ36W8ZGS8ZJVRQU1&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_101&otracker=search&otracker1=search&fm=Search&iid=1bf72d3d-94c7-4029-b32d-f5c0906eb5b1.COMHFYZ36W8ZGS8Z.SEARCH&ppt=sp&ppn=sp&ssid=jbvbrnem000000001737054268882&qH=312f91285e048e09
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,AMD Ryzen 7 Octa Core Processor,8 GB DDR5 RAM,512 GB SSD,Windows 11 Home Operating System,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty,"54,990","70,990",22,4.2,587,47,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/v/v/gaming-a15-gaming-laptop-asus-original-imah4bzzrdd6vuve.jpeg?q=70,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn260w-laptop/p/itm10514ecd2a794?pid=COMHFT2NBDET7GJX&lid=LSTCOMHFT2NBDET7GJXKL60AC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_102&otracker=search&otracker1=search&fm=Search&iid=1bf72d3d-94c7-4029-b32d-f5c0906eb5b1.COMHFT2NBDET7GJX.SEARCH&ppt=sp&ppn=sp&ssid=jbvbrnem000000001737054268882&qH=312f91285e048e09
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD,Windows 11 Home Operating System,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty,"58,990","75,990",22,4.2,587,47,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/v/v/gaming-a15-gaming-laptop-asus-original-imah4bzzrdd6vuve.jpeg?q=70,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn259w-laptop/p/itm10514ecd2a794?pid=COMHFT2NEWGYDWAV&lid=LSTCOMHFT2NEWGYDWAVPS8GCS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_103&otracker=search&otracker1=search&fm=Search&iid=1bf72d3d-94c7-4029-b32d-f5c0906eb5b1.COMHFT2NEWGYDWAV.SEARCH&ppt=sp&ppn=sp&ssid=jbvbrnem000000001737054268882&qH=312f91285e048e09
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,2 Year Onsite Warranty,"48,990","67,990",27,4.3,112,97,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/r/u/-original-imah3acvkdhmxkzq.jpeg?q=70,https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-1696in-gaming-laptop/p/itmc1581367ea4e2?pid=COMGZW35SQXHBAUH&lid=LSTCOMGZW35SQXHBAUHXQTHLX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_104&otracker=search&otracker1=search&fm=Search&iid=1bf72d3d-94c7-4029-b32d-f5c0906eb5b1.COMGZW35SQXHBAUH.SEARCH&ppt=sp&ppn=sp&ssid=jbvbrnem000000001737054268882&qH=312f91285e048e09
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
